movie_id,genre_id
211672,10751
211672,16
211672,12
211672,35
297762,28
297762,12
297762,14
321612,10751
321612,14
321612,10749
339403,28
339403,80
177572,12
177572,10751
177572,16
177572,28
177572,35
293660,28
293660,12
293660,35
283995,28
283995,12
283995,35
283995,878
19995,28
19995,12
19995,14
19995,878
245891,28
245891,53
210577,9648
210577,53
210577,18
131631,878
131631,12
131631,53
281338,18
281338,878
281338,10752
271110,12
271110,28
271110,878
680,53
680,80
166426,12
166426,28
166426,14
166426,35
155,18
155,28
155,80
155,53
78,878
78,18
78,53
24428,878
24428,28
24428,12
268531,28
268531,16
268531,35
268531,10751
339988,18
339988,53
339988,878
316154,53
316154,10749
316154,878
198663,28
198663,9648
198663,878
198663,53
119450,878
119450,28
119450,18
119450,53
126889,27
126889,878
126889,53
315837,28
315837,878
315837,53
348893,53
348893,28
348893,80
244786,18
550,18
406990,878
406990,53
440597,14
440597,27
440597,53
263115,28
263115,18
263115,878
118340,28
118340,878
118340,12
403119,18
403119,53
403119,27
403119,12
278,18
278,80
360249,28
360249,12
360249,18
353491,28
353491,37
353491,878
353491,14
353491,27
324552,53
324552,28
324552,80
337339,28
337339,80
337339,53
13,35
13,18
13,10749
22,12
22,14
22,28
460846,28
258489,28
258489,12
274857,28
274857,18
274857,14
284052,28
284052,12
284052,14
284052,878
297761,28
297761,12
297761,80
297761,14
297761,878
11,12
11,28
11,878
214756,35
424,18
424,36
424,10752
61791,53
61791,28
61791,18
61791,878
294254,28
238,18
238,80
259316,12
259316,10751
259316,14
129,14
129,12
129,16
129,10751
395834,28
395834,80
395834,9648
395834,53
291805,28
291805,12
291805,35
291805,80
291805,9648
291805,53
637,35
637,18
335988,28
335988,878
335988,53
335988,12
397837,9648
397837,18
397837,53
671,12
671,14
671,10751
417870,35
269795,18
269795,53
99861,28
99861,12
99861,878
419430,9648
419430,53
419430,27
539,18
539,27
539,53
228150,10752
228150,18
228150,28
324852,28
324852,16
324852,12
324852,10751
324852,35
240,18
240,80
330459,28
330459,12
330459,878
240832,28
240832,878
395992,27
395992,878
395992,53
283366,18
283366,14
283366,12
399019,18
399019,37
415214,28
415214,12
339846,28
339846,35
510,18
76338,28
76338,12
76338,14
378064,16
378064,18
372058,10749
372058,16
372058,18
19404,35
19404,18
19404,10749
296096,18
296096,10749
15206,27
24021,12
24021,14
24021,18
24021,10749
68726,28
68726,878
68726,12
282035,53
282035,28
282035,12
378236,35
378236,10751
378236,16
312221,18
603,28
603,878
216015,18
216015,10749
216015,53
135397,28
135397,12
135397,878
135397,53
157336,12
157336,18
157336,878
311,18
311,80
120,12
120,14
120,28
137113,28
137113,878
397243,27
397243,9648
122917,28
122917,12
122917,14
140607,28
140607,12
140607,878
140607,14
205596,36
205596,18
205596,53
205596,10752
209112,28
209112,12
209112,14
285,12
285,14
285,28
195590,53
195590,28
8966,12
8966,14
8966,18
8966,10749
1930,28
1930,12
1930,14
374720,28
374720,18
374720,36
374720,53
374720,10752
329865,53
329865,18
329865,878
329865,9648
76203,18
76203,36
198184,80
198184,28
198184,878
87101,878
87101,28
87101,53
87101,12
345914,35
18239,12
18239,14
18239,18
18239,10749
672,12
672,14
672,10751
58,12
58,14
58,28
293167,28
293167,12
293167,14
121,12
121,14
121,28
557,14
557,28
76341,28
76341,12
76341,878
76341,53
122,12
122,14
122,28
10195,12
10195,14
10195,28
341174,18
341174,10749
27205,28
27205,53
27205,878
27205,9648
27205,12
381288,27
381288,53
246655,878
272,28
272,80
272,18
673,12
673,14
673,10751
463906,28
463906,12
463906,80
207703,80
207703,35
207703,28
207703,12
417830,35
417830,10751
1865,12
1865,28
1865,14
262500,12
262500,878
262500,53
238636,27
238636,53
559,14
559,28
559,12
121856,28
121856,12
121856,878
225886,35
168259,28
145135,878
145135,53
145135,27
597,18
597,10749
597,53
102899,878
102899,28
102899,12
1417,14
1417,18
1417,10752
131634,28
131634,12
131634,878
585,16
585,35
585,10751
102382,28
102382,12
102382,14
72190,28
72190,18
72190,27
72190,878
72190,53
50620,12
50620,14
50620,18
50620,10749
127585,28
127585,12
127585,14
127585,878
269149,16
269149,12
269149,10751
269149,35
50619,12
50619,14
50619,10749
300669,80
300669,27
300669,53
105,12
105,35
105,878
105,10751
286217,18
286217,12
286217,878
12,16
12,10751
339967,28
339967,35
339967,18
339967,14
339967,878
101299,12
101299,28
101299,878
238615,878
238615,9648
238615,53
24,28
24,80
109439,35
12445,10751
12445,14
12445,12
206647,28
206647,12
206647,80
347882,18
347882,53
347882,28
347882,878
374430,18
374430,27
374430,9648
374430,878
374430,53
374430,10770
674,12
674,14
674,10751
93456,16
93456,35
93456,10751
136835,80
136835,53
382614,53
382614,18
382614,80
14564,27
11187,53
11187,27
11187,28
258230,18
258230,14
428449,18
428449,14
428449,10749
397422,18
397422,35
18,12
18,14
18,28
18,53
18,878
109445,16
109445,12
109445,10751
404733,53
404733,28
150540,18
150540,35
150540,16
150540,10751
564,12
564,28
564,14
38365,35
40096,12
40096,35
40096,18
18785,35
68721,28
68721,12
68721,878
8840,14
176,27
176,9648
176,80
281957,37
281957,18
281957,12
281957,53
10020,10749
10020,10751
10020,16
10020,14
10020,10402
416477,35
416477,18
416477,10749
348,27
348,28
348,53
348,878
12444,12
12444,14
12444,10751
49051,12
49051,14
49051,28
305470,28
305470,12
305470,878
250546,27
158015,878
158015,27
158015,53
98,28
98,18
98,12
